ID,POI_ID,POI_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,LC_LO,LC_LA,BASE_DE
KCLANPO23N000021874,18327972,삼밀여행사,60400,N,1129013600100190003,서울특별시,성북구,하월곡동,19-3,1129013600,1129072500,127.0432872,37.6044869,20231220
KCLANPO23N000021921,18329409,세한투어,60400,N,1154510300108820043,서울특별시,금천구,시흥동,882-43,1154510300,1154567000,126.9010528,37.45557177,20231220
KCLANPO23N000024942,19869390,영학정,60500,N,4882032021201130003,경상남도,고성군,하일면,산113-3,4882032021,4882032000,128.1856556,34.96313748,20231220
KCLANPO23N000018061,17416026,강풀만화거리,60500,N,1174010800101600048,서울특별시,강동구,성내동,160-48,1174010800,1174065000,127.1303604,37.53625644,20231220
KCLANPO23N000024316,19868561,더허니,60500,N,4146134023102550003,경기도,용인시 처인구,원삼면,255-3,4146134023,4146134000,127.3111372,37.20275646,20231220
KCLANPO23N000021964,18330195,엄지투어,60400,N,1159010200103120001,서울특별시,동작구,상도동,312-1,1159010200,1159055000,126.9330325,37.49916031,20231220
KCLANPO23N000024799,19869229,추월담,60500,N,4573032028202670002,전라북도,무주군,설천면,산267-2,4573032028,4573032000,127.7525389,35.93874999,20231220
KCLANPO23N000025288,19912012,상상드론플레이존,60500,N,2917013800201270002,광주광역시,북구,생용동,산127-2,2917013800,2917069500,126.8935955,35.22274203,20231220
KCLANPO23N000022148,18349203,출발여행,60400,N,5182025321102870080,강원특별자치도,고성군,거진읍,287-80,5182025321,5182025300,128.4546451,38.44615769,20231220
KCLANPO23N000024511,19868863,경원선철도중단점,60500,N,5178025029100500011,강원특별자치도,철원군,철원읍,50-11,5178025029,5178025000,127.1660726,38.25736433,20231220
KCLANPO23N000024692,19869099,공수전리마을관리휴양지,60500,N,5183031040200020007,강원특별자치도,양양군,서면,산2-7,5183031040,5183031000,128.5439375,38.03728333,20231220
KCLANPO23N000024515,19868869,한국산림아카데미,60500,N,3017011200109150000,대전광역시,서구,둔산동,915,3017011200,3017064000,127.3890889,36.35942664,20231220
KCLANPO23N000025095,19878904,호서제일가람문,60500,N,4372031527200040001,충청북도,보은군,속리산면,산4-1,4372031527,4372031500,127.8303949,36.53897263,20231220
